id|name|album|albums_ids|artists_ids|explicit|danceability|energy|key|mode|acousticness|instrumentalness|valence|release_date|spotify_link
1PnJ0wTwdDQ2oTMlhLg3Ab|Porcelain Blue|Rosaryville|747XdfKqkymjuvap8Lm1Hv|['1NZA6DefBtQo2PgcmBtnTg']|0|0.78|0.53|9|0|0.78|0.0|0.7|1999-07-20|https://open.spotify.com/embed/track/1PnJ0wTwdDQ2oTMlhLg3Ab
4xSxXbvS2ImooFqVW0sM2Y|Rosa's Coronas|Rosaryville|747XdfKqkymjuvap8Lm1Hv|['1NZA6DefBtQo2PgcmBtnTg']|0|0.56|0.32|1|1|0.81|0.0|0.35|1999-07-20|https://open.spotify.com/embed/track/4xSxXbvS2ImooFqVW0sM2Y
2w5gwaI27Ek8fSCQdFiDNC|In My Mother's House|Rosaryville|747XdfKqkymjuvap8Lm1Hv|['1NZA6DefBtQo2PgcmBtnTg']|0|0.55|0.16|7|1|0.92|0.0|0.19|1999-07-20|https://open.spotify.com/embed/track/2w5gwaI27Ek8fSCQdFiDNC
75qoLt38t0tJMfArhH8n0f|Heart of Hearts|Rosaryville|747XdfKqkymjuvap8Lm1Hv|['1NZA6DefBtQo2PgcmBtnTg']|0|0.6|0.69|2|1|0.53|0.0|0.55|1999-07-20|https://open.spotify.com/embed/track/75qoLt38t0tJMfArhH8n0f
31Yy1JrQt97tWw0XOdfiLD|Fade to Blue|Rosaryville|747XdfKqkymjuvap8Lm1Hv|['1NZA6DefBtQo2PgcmBtnTg']|0|0.65|0.26|8|1|0.87|0.0|0.47|1999-07-20|https://open.spotify.com/embed/track/31Yy1JrQt97tWw0XOdfiLD
3Lg2CVWLCtZQmVZNrPhck8|Who Will Pray For Junior|Rosaryville|747XdfKqkymjuvap8Lm1Hv|['1NZA6DefBtQo2PgcmBtnTg']|0|0.69|0.27|2|1|0.8|0.0|0.33|1999-07-20|https://open.spotify.com/embed/track/3Lg2CVWLCtZQmVZNrPhck8
58RIKzxWYD4CNGuRoP4jSL|Rosemary|Rosaryville|747XdfKqkymjuvap8Lm1Hv|['1NZA6DefBtQo2PgcmBtnTg']|0|0.63|0.13|7|1|0.93|0.0|0.15|1999-07-20|https://open.spotify.com/embed/track/58RIKzxWYD4CNGuRoP4jSL
6RraLU76rC8zfIazhQnbXh|Look Away|Rosaryville|747XdfKqkymjuvap8Lm1Hv|['1NZA6DefBtQo2PgcmBtnTg']|0|0.43|0.13|9|1|0.82|0.0|0.2|1999-07-20|https://open.spotify.com/embed/track/6RraLU76rC8zfIazhQnbXh
4iGKOFTplr4vOjDAbGUKLU|Ave Maria Grotto|Rosaryville|747XdfKqkymjuvap8Lm1Hv|['1NZA6DefBtQo2PgcmBtnTg']|0|0.36|0.31|10|1|0.7|0.0|0.21|1999-07-20|https://open.spotify.com/embed/track/4iGKOFTplr4vOjDAbGUKLU
2z9z18lidxD3euusC3UaLx|Hollywood|New Life Faded|1xNWaXNMS8798hlEBxdVjL|['3jfxxO6JNrzzhov82l1wX2']|0|0.4|0.14|6|1|0.66|0.0|0.23|2011-02-08|https://open.spotify.com/embed/track/2z9z18lidxD3euusC3UaLx
